target_count,algorithm,comm_label,horizon,metric,metric_display,available,n,mean,median,standard_deviation,standard_error,minimum,maximum,required_metric
5,ACBBA,bernoulli_025,3,total_messages,Total messages,1,25,230.32,223,31.7893063780888,6.35786127561777,177,293,0
5,ACBBA,bernoulli_025,3,total_team_steps,Total team steps,1,25,64.24,61,10.5288492565269,2.10576985130538,45,86,1
5,ACBBA,bernoulli_025,5,active_robot_count,Active robots completing at least one target,1,25,3.08,3,0.640312423743285,0.128062484748657,2,4,0
5,ACBBA,bernoulli_025,5,allocation_messages,Allocation messages,1,25,116.16,116,26.905203957599,5.3810407915198,62,181,0
5,ACBBA,bernoulli_025,5,allocator_time_ms,Allocator computation time (ms),1,25,31.387408,28.1183,12.6772193906669,2.53544387813337,10.0788,60.629,0
5,ACBBA,bernoulli_025,5,final_completion_time,Final simulated mission-completion time (s),1,25,44.5520546595908,40.5044986755964,11.9488231843393,2.38976463686787,28.2883103084353,73.9254081858435,0
5,ACBBA,bernoulli_025,5,max_individual_steps,Maximum individual movement workload (steps),1,25,24.6,24,6.08276253029822,1.21655250605964,16,43,0
5,ACBBA,bernoulli_025,5,max_robot_steps,Makespan (maximum robot steps),1,25,24.6,24,6.08276253029822,1.21655250605964,16,43,1
5,ACBBA,bernoulli_025,5,max_target_workload,Maximum target workload on one robot,1,25,2.64,3,0.7,0.14,2,4,0
5,ACBBA,bernoulli_025,5,movement_workload_gini,Movement-workload Gini,1,25,0.217789378486266,0.21551724137931,0.123621499043171,0.0247242998086343,0.0102739726027397,0.408536585365854,0
5,ACBBA,bernoulli_025,5,target_workload_gini,Target-workload Gini,1,25,0.382,0.45,0.16,0.032,0.15,0.65,0
5,ACBBA,bernoulli_025,5,total_messages,Total messages,1,25,254.84,273,52.1677422679316,10.4335484535863,172,346,0
5,ACBBA,bernoulli_025,5,total_team_steps,Total team steps,1,25,64.88,65,15.7990506043876,3.15981012087752,38,93,1
5,ACBBA,bernoulli_025,8,active_robot_count,Active robots completing at least one target,1,25,3.08,3,0.640312423743285,0.128062484748657,2,4,0
5,ACBBA,bernoulli_025,8,allocation_messages,Allocation messages,1,25,116.16,116,26.905203957599,5.3810407915198,62,181,0
5,ACBBA,bernoulli_025,8,allocator_time_ms,Allocator computation time (ms),1,25,30.0041,27.2634,14.1107686953676,2.82215373907352,7.6299,66.7713,0
5,ACBBA,bernoulli_025,8,final_completion_time,Final simulated mission-completion time (s),1,25,44.5520546595908,40.5044986755964,11.9488231843393,2.38976463686787,28.2883103084353,73.9254081858435,0
5,ACBBA,bernoulli_025,8,max_individual_steps,Maximum individual movement workload (steps),1,25,24.6,24,6.08276253029822,1.21655250605964,16,43,0
5,ACBBA,bernoulli_025,8,max_robot_steps,Makespan (maximum robot steps),1,25,24.6,24,6.08276253029822,1.21655250605964,16,43,1
5,ACBBA,bernoulli_025,8,max_target_workload,Maximum target workload on one robot,1,25,2.64,3,0.7,0.14,2,4,0
5,ACBBA,bernoulli_025,8,movement_workload_gini,Movement-workload Gini,1,25,0.217789378486266,0.21551724137931,0.123621499043171,0.0247242998086343,0.0102739726027397,0.408536585365854,0
5,ACBBA,bernoulli_025,8,target_workload_gini,Target-workload Gini,1,25,0.382,0.45,0.16,0.032,0.15,0.65,0
5,ACBBA,bernoulli_025,8,total_messages,Total messages,1,25,254.84,273,52.1677422679316,10.4335484535863,172,346,0
5,ACBBA,bernoulli_025,8,total_team_steps,Total team steps,1,25,64.88,65,15.7990506043876,3.15981012087752,38,93,1
5,ACBBA,bernoulli_025,12,active_robot_count,Active robots completing at least one target,1,25,3.08,3,0.640312423743285,0.128062484748657,2,4,0
5,ACBBA,bernoulli_025,12,allocation_messages,Allocation messages,1,25,116.16,116,26.905203957599,5.3810407915198,62,181,0
5,ACBBA,bernoulli_025,12,allocator_time_ms,Allocator computation time (ms),1,25,34.167336,31.3712,15.0862946622058,3.01725893244117,9.987,69.0843,0
5,ACBBA,bernoulli_025,12,final_completion_time,Final simulated mission-completion time (s),1,25,44.5520546595908,40.5044986755964,11.9488231843393,2.38976463686787,28.2883103084353,73.9254081858435,0
5,ACBBA,bernoulli_025,12,max_individual_steps,Maximum individual movement workload (steps),1,25,24.6,24,6.08276253029822,1.21655250605964,16,43,0
5,ACBBA,bernoulli_025,12,max_robot_steps,Makespan (maximum robot steps),1,25,24.6,24,6.08276253029822,1.21655250605964,16,43,1
5,ACBBA,bernoulli_025,12,max_target_workload,Maximum target workload on one robot,1,25,2.64,3,0.7,0.14,2,4,0
5,ACBBA,bernoulli_025,12,movement_workload_gini,Movement-workload Gini,1,25,0.217789378486266,0.21551724137931,0.123621499043171,0.0247242998086343,0.0102739726027397,0.408536585365854,0
5,ACBBA,bernoulli_025,12,target_workload_gini,Target-workload Gini,1,25,0.382,0.45,0.16,0.032,0.15,0.65,0
5,ACBBA,bernoulli_025,12,total_messages,Total messages,1,25,254.84,273,52.1677422679316,10.4335484535863,172,346,0
5,ACBBA,bernoulli_025,12,total_team_steps,Total team steps,1,25,64.88,65,15.7990506043876,3.15981012087752,38,93,1
5,ACBBA,ideal,1,active_robot_count,Active robots completing at least one target,1,25,3,3,0.577350269189626,0.115470053837925,2,4,0
5,ACBBA,ideal,1,allocation_messages,Allocation messages,1,25,71.8,73,14.094916341244,2.8189832682488,50,110,0
5,ACBBA,ideal,1,allocator_time_ms,Allocator computation time (ms),1,25,21.197772,18.2942,8.59103629941891,1.71820725988378,8.5168,36.8283,0
5,ACBBA,ideal,1,final_completion_time,Final simulated mission-completion time (s),1,25,33.2873478791454,33.8924772834391,5.17432577668973,1.03486515533795,17.4488313125608,40.3186976147467,0
5,ACBBA,ideal,1,max_individual_steps,Maximum individual movement workload (steps),1,25,20,20,2.98607881119482,0.597215762238964,11,24,0
5,ACBBA,ideal,1,max_robot_steps,Makespan (maximum robot steps),1,25,20,20,2.98607881119482,0.597215762238964,11,24,1
5,ACBBA,ideal,1,max_target_workload,Maximum target workload on one robot,1,25,2.44,2,0.58309518948453,0.116619037896906,2,4,0
5,ACBBA,ideal,1,movement_workload_gini,Movement-workload Gini,1,25,0.143219549997225,0.12037037037037,0.0820413851389462,0.0164082770277892,0.0342105263157895,0.323170731707317,0
5,ACBBA,ideal,1,target_workload_gini,Target-workload Gini,1,25,0.378,0.35,0.13076696830622,0.026153393661244,0.15,0.65,0
5,ACBBA,ideal,1,total_messages,Total messages,1,25,197.16,187,39.3146283207663,7.86292566415326,126,272,0
5,ACBBA,ideal,1,total_team_steps,Total team steps,1,25,58.84,55,14.2146637901382,2.84293275802764,34,92,1
5,ACBBA,ideal,2,active_robot_count,Active robots completing at least one target,1,25,3.32,3,0.556776436283002,0.1113552872566,2,4,0
5,ACBBA,ideal,2,allocation_messages,Allocation messages,1,25,77.44,70,24.2660256325588,4.85320512651176,46,130,0
5,ACBBA,ideal,2,allocator_time_ms,Allocator computation time (ms),1,25,29.040032,28.5923,12.0424179825842,2.40848359651683,11.8158,61.2323,0
5,ACBBA,ideal,2,final_completion_time,Final simulated mission-completion time (s),1,25,35.7765974691145,34.8956788618848,6.49193701608916,1.29838740321783,17.8800033361219,48.9032578899472,0
