target_count,algorithm,selection_metric,candidate_set,candidate_horizons,horizon,eligible,mean_response,standard_error,selected_horizon,selected,paired_trial_n,normalization,analysis_scope
10,ACBBA,max_robot_steps,all_horizons,1;2;3;5;8;12,3,1,27,1.13321077768731,1,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
10,ACBBA,max_robot_steps,all_horizons,1;2;3;5;8;12,5,1,29.58,1.28959942100897,1,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
10,ACBBA,max_robot_steps,all_horizons,1;2;3;5;8;12,8,1,33.14,1.51011037124223,1,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
10,ACBBA,max_robot_steps,all_horizons,1;2;3;5;8;12,12,1,33.2,1.54164414397962,1,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
10,ACBBA,max_robot_steps,exclude_horizon_1,2;3;5;8;12,1,0,24.44,0.533322916564939,2,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
10,ACBBA,max_robot_steps,exclude_horizon_1,2;3;5;8;12,2,1,25,0.660176744011279,2,1,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
10,ACBBA,max_robot_steps,exclude_horizon_1,2;3;5;8;12,3,1,27,1.13321077768731,2,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
10,ACBBA,max_robot_steps,exclude_horizon_1,2;3;5;8;12,5,1,29.58,1.28959942100897,2,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
10,ACBBA,max_robot_steps,exclude_horizon_1,2;3;5;8;12,8,1,33.14,1.51011037124223,2,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
10,ACBBA,max_robot_steps,exclude_horizon_1,2;3;5;8;12,12,1,33.2,1.54164414397962,2,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
10,ACBBA,total_team_steps,all_horizons,1;2;3;5;8;12,1,1,88.22,1.64799878640732,2,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
10,ACBBA,total_team_steps,all_horizons,1;2;3;5;8;12,2,1,81.66,1.96293148122903,2,1,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
10,ACBBA,total_team_steps,all_horizons,1;2;3;5;8;12,3,1,81.92,2.60171097549286,2,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
10,ACBBA,total_team_steps,all_horizons,1;2;3;5;8;12,5,1,82.72,2.61359905111706,2,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
10,ACBBA,total_team_steps,all_horizons,1;2;3;5;8;12,8,1,82.38,2.53365348854179,2,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
10,ACBBA,total_team_steps,all_horizons,1;2;3;5;8;12,12,1,86.18,3.0950067312797,2,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
10,ACBBA,total_team_steps,exclude_horizon_1,2;3;5;8;12,1,0,88.22,1.64799878640732,2,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
10,ACBBA,total_team_steps,exclude_horizon_1,2;3;5;8;12,2,1,81.66,1.96293148122903,2,1,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
10,ACBBA,total_team_steps,exclude_horizon_1,2;3;5;8;12,3,1,81.92,2.60171097549286,2,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
10,ACBBA,total_team_steps,exclude_horizon_1,2;3;5;8;12,5,1,82.72,2.61359905111706,2,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
10,ACBBA,total_team_steps,exclude_horizon_1,2;3;5;8;12,8,1,82.38,2.53365348854179,2,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
10,ACBBA,total_team_steps,exclude_horizon_1,2;3;5;8;12,12,1,86.18,3.0950067312797,2,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
10,HIPC,max_robot_steps,all_horizons,1;2;3;5;8;12,1,1,23.7,0.595119035711904,1,1,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
10,HIPC,max_robot_steps,all_horizons,1;2;3;5;8;12,2,1,24.82,0.760416552511407,1,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
10,HIPC,max_robot_steps,all_horizons,1;2;3;5;8;12,3,1,26.84,0.910457760323527,1,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
10,HIPC,max_robot_steps,all_horizons,1;2;3;5;8;12,5,1,30.54,1.15935326799039,1,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
10,HIPC,max_robot_steps,all_horizons,1;2;3;5;8;12,8,1,34.46,1.57213230995359,1,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
10,HIPC,max_robot_steps,all_horizons,1;2;3;5;8;12,12,1,36.12,1.86598499458061,1,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
10,HIPC,max_robot_steps,exclude_horizon_1,2;3;5;8;12,1,0,23.7,0.595119035711904,2,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
10,HIPC,max_robot_steps,exclude_horizon_1,2;3;5;8;12,2,1,24.82,0.760416552511407,2,1,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
10,HIPC,max_robot_steps,exclude_horizon_1,2;3;5;8;12,3,1,26.84,0.910457760323527,2,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
10,HIPC,max_robot_steps,exclude_horizon_1,2;3;5;8;12,5,1,30.54,1.15935326799039,2,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
10,HIPC,max_robot_steps,exclude_horizon_1,2;3;5;8;12,8,1,34.46,1.57213230995359,2,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
10,HIPC,max_robot_steps,exclude_horizon_1,2;3;5;8;12,12,1,36.12,1.86598499458061,2,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
10,HIPC,total_team_steps,all_horizons,1;2;3;5;8;12,1,1,81.48,1.93767042261234,12,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
10,HIPC,total_team_steps,all_horizons,1;2;3;5;8;12,2,1,73,1.74021071521047,12,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
10,HIPC,total_team_steps,all_horizons,1;2;3;5;8;12,3,1,67.14,2.01318984036115,12,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
10,HIPC,total_team_steps,all_horizons,1;2;3;5;8;12,5,1,59,1.65126214353344,12,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
10,HIPC,total_team_steps,all_horizons,1;2;3;5;8;12,8,1,58.84,2.02293516126115,12,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
10,HIPC,total_team_steps,all_horizons,1;2;3;5;8;12,12,1,57.8,1.76328292303495,12,1,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
10,HIPC,total_team_steps,exclude_horizon_1,2;3;5;8;12,1,0,81.48,1.93767042261234,12,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
10,HIPC,total_team_steps,exclude_horizon_1,2;3;5;8;12,2,1,73,1.74021071521047,12,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
